iso3,Country,year,pop_mln,Country Total Emissions 2020 (MT),Country Total Emissions 2020 (tonnes),Country PCC Emissions 2020 (tonnes),gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2,lon,lat
SYR,Syria,2020,18.924442,89.8525885,89852588.5,4.747965013,86.1558609,141.1982558,68.94458326,-1.724000017,20.90800524,0,84.46793468,312.0598852,0,-3.621453369,24.75908382,0.000474723,6.676285686,0.002987648,0.034286335,0,0,38.506,35.013
TWN,Taiwan,2020,23.817904,287.7788041,287778804.1,12.08245714,535.7024536,535.7024536,258.6134084,0,29.16539574,0,214.7663473,3990.901066,0,22.03180078,359.9088977,0.006436944,22.10201537,1.309871032,12.01930843,0,0,120.946,23.754
TJK,Tajikistan,2020,9.475246,10.9507759,10950775.9,1.155724706,9.943174362,23.52058817,2.77414151,0,8.176634391,0,10.8667176,7.259134713,0,-5.270271484,0.146267007,7.41E-06,0.166362951,1.99E-10,1.07E-09,0,0,69.42,38.665
TZA,Tanzania,2020,62.774616,96.94892931,96948929.31,1.544397011,60.67709351,148.92524,15.2712032,225.5999947,81.67772611,0,96.63737728,19.74262746,0,7.392762207,1.262792525,2.75E-05,1.291345451,2.00E-08,1.85E-07,0,0,34.823,-6.27
THA,Thailand,2020,69.410864,382.0426324,382042632.4,5.504075448,464.8787842,773.1273281,278.909317,7.365699768,103.1333154,0,334.9134026,2816.0729,0,-33.39796875,208.1751532,0.00415502,37.85698408,0.106760374,1.238642622,0,0,100.844,15.7
TLS,Timor-Leste,2020,1.3814,1.594725674,1594725.674,1.154427157,1.469882846,4.409648538,0.4325121,6.766999841,1.162213574,0,1.574935993,1.069502681,0,-0.084315506,0.098780353,1.74E-06,0.088307546,1.84E-08,1.43E-07,0,0,125.878,-8.822
TGO,Togo,2020,8.384291,10.43167377,10431673.77,1.244192713,5.224280357,8.8765599,4.681121508,6.534999887,5.750552257,0,10.43123693,0.02812283,0,1.349462036,0.001726154,3.85E-08,0.002133732,5.62E-13,4.92E-12,0,0,1.081,8.799
TON,Tonga,2020,0.111037,0.256043717,256043.717,2.305931509,0.45495519,0.538009246,0.129402004,0,0.126641713,0,0.242373715,0.726460997,0,0.309847656,0.069472851,1.21E-06,0.018715177,1.01E-05,6.00E-05,0,0,-175.185,-21.202
TTO,Trinidad and Tobago,2020,1.377729,87.781051,87781051,63.71430884,22.73441887,33.60569182,61.8851757,-0.081599999,25.8958753,0,75.00232804,1162.628611,0,2.174113037,16.29139342,0.001126601,1.080899706,0.068075769,7.763431796,0,0,-61.253,10.468
TUN,Tunisia,2020,11.903136,44.8402466,44840246.6,3.767095209,55.28766251,112.9376402,30.98450057,-0.40069999,13.85574603,0,40.06527498,286.2484602,0,-0.058980442,20.99765149,0.000420972,5.643059736,0.002481366,0.023030054,0,0,9.596,35.383
TUR,Turkey,2020,83.835752,521.935084,521935084,6.225686197,1308.014282,1632.987365,425.867953,-49.79605707,96.06713104,0,388.3874559,5431.631367,0,30.08803711,846.2812056,0.011773862,63.71536711,3.010011313,28.56774552,0,0,35.179,39.061
TKM,Turkmenistan,2020,6.031195,119.4416275,119441627.5,19.80397376,49.4364357,92.49163703,64.53937721,0.0003828,54.90225029,0,111.5370466,563.5028333,0,-3.042983643,25.74040983,0.000696886,5.399375397,0.000177798,0.002576169,0,0,59.384,39.122
TUV,Tuvalu,2020,0.011499,0.020742731,20742.731,1.803872598,0.041688535,0.083377071,0.010944418,-0.0015848,0.009798313,0,0.018424686,0.125379053,0,0.024565617,0.01156009,2.04E-07,0.003893214,5.33E-07,2.70E-06,0,0,179.219,-8.514
UGA,Uganda,2020,47.187704,52.3644863,52364486.3,1.10970617,33.92992401,75.27017584,6.394294977,25.91999976,45.97019132,0,52.12821291,16.11004465,0,2.558845459,0.843195954,2.08E-05,0.608171129,1.95E-06,2.66E-05,0,0,32.386,1.28
UKR,Ukraine,2020,43.579236,339.9405728,339940572.8,7.800517035,140.2577515,284.3311134,232.9708138,-30.54551506,106.969759,0,309.5112893,2806.555532,0,-41.76810938,34.9652432,0.002682715,12.48195898,0.001496755,0.037458684,0,0,31.388,49.016
