iso3,country,year,pop_mln,TotalEmissions_MT,PCC,gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2
BHS,"Bahamas, The",2020,0.406839,3.4,8.3,8.473974228,10.07947594,2.946158131,2.732199947,0.434240341,0,2.252244888,57.15195696,0,1.638136963,6.015281312,9.95E-05,0.350374149,0.027618743,0.279377317,0,0
BHR,Bahrain,2020,1.697765,40.3,23.7,34.32746124,40.29072967,34.68368753,-0.004575,5.603896221,0,32.27385518,593.7857675,0,-0.979885254,23.83174144,0.000706509,1.496551298,0.094620461,2.41056531,0,0
BGD,Bangladesh,2020,169.775312,196.3,1.2,220.2141113,485.5925224,99.86959267,25.10000054,96.44952075,0,195.6447102,20.37451153,0,21.59270117,4.983470686,5.95E-05,4.958268667,2.16E-08,9.70E-08,0,0
BRB,Barbados,2020,0.287568,1.5,5.3,4.792739391,5.59840288,1.312724183,0.032169999,0.200519891,0,0.98014083,25.76997992,0,0.552248108,2.966943115,4.70E-05,0.270438822,0.002637116,0.008723865,0,0
BLR,Belarus,2020,9.415431,87.9,9.3,61.42608261,131.8957168,52.02905432,-33.93209108,35.82467079,0,76.25194102,900.3121798,0,-0.741020508,30.41045912,0.00102284,7.351581385,0.000761021,0.008680896,0,0
BEL,Belgium,2020,11.619972,117.1,10.1,548.8717651,420.5296174,99.16167132,-1.963509142,17.98589595,0,45.29770506,3122.533282,0,122.2653438,435.1569444,0.006334447,11.5946691,4.151843696,20.84652019,0,0
BLZ,Belize,2020,0.398007,1.1,2.7,1.720706463,2.5351449,0.511687323,4.203999837,0.546683138,0,0.966936611,5.485925075,0,0.145737686,0.401604177,8.06E-06,0.110339211,4.79E-05,0.00031864,0,0
BEN,Benin,2020,12.122985,17.7,1.5,11.5331192,22.15982816,8.160752773,10.87000012,9.524180094,0,17.6631106,1.305586608,0,1.551290771,0.096224494,1.92E-06,0.089385626,2.70E-09,2.36E-08,0,0
BTN,Bhutan,2020,0.835245,2.9,3.5,3.245915174,7.429225117,1.353370289,0,1.57605508,0,2.738551727,8.441080006,0,0.400173279,1.141343938,1.68E-05,0.370848048,5.68E-05,0.000533603,0,0
BOL,Bolivia,2020,11.543982,101.1,8.8,31.21306038,68.60675923,21.23985386,92.06000137,79.86389097,0,94.63934144,550.4890979,0,-0.589779846,12.0298816,0.000569916,2.474332927,0.013553029,1.059779285,0,0
BIH,Bosnia and Herzegovina,2020,3.49821,31.3,8.9,20.97825813,35.36575684,22.34618028,0.179000001,8.915971041,0,28.58690093,199.067996,0,-15.82178711,7.871064997,0.000235856,1.923667075,0.000662641,0.009530401,0,0
BWA,Botswana,2020,2.415766,20.4,8.4,20.11136055,33.73961974,8.270212412,33.59999943,12.10278241,0,17.22477321,209.8750472,0,3.824203125,11.71641034,0.000277554,1.28498211,0.029822212,0.801091717,0,0
BRA,Brazil,2020,213.86304,1105.1,5.2,2404.352295,2199.40271,469.743103,1198.902313,635.3242442,0,865.8443079,12605.09319,0,-14.98680371,1226.618096,0.021090446,84.64704886,6.065056067,93.50682712,0,0
BRN,Brunei,2020,0.444519,15.9,35.9,15.64788723,22.96428323,8.694338242,1.18930005,7.254264434,0,11.70059768,307.3139771,0,-0.708781189,13.38223728,0.000374514,0.438816327,0.088608392,2.808456404,0,0
